Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60211228,The Storm We Made,Vanessa  Chan,"Chan, Vanessa",,"=""""","=""""",0,3.82,S&S/ Marysue Rucci Books,Hardcover,339,2024,2024,,2024/01/25,to-read,to-read (#4452),to-read,,,,0,0
198834669,"Not Here to Make Friends (Marry Me, Juliet, #3)",Jodi McAlister,"McAlister, Jodi",,"=""1761109340""","=""9781761109348""",0,3.57,Simon & Schuster Australia,Paperback,336,2024,,,2024/01/24,to-read,to-read (#4451),to-read,,,,0,0
127975624,Wild Life,Opal Wei,"Wei, Opal",,"=""1335475958""","=""9781335475954""",0,3.17,Harlequin,Paperback,304,2024,2024,,2024/01/24,to-read,to-read (#4450),to-read,,,,0,0
127823335,"Don't Want You Like a Best Friend (Mischief & Matchmaking, #1)",Emma R. Alban,"Alban, Emma R.",,"=""006331200X""","=""9780063312005""",0,3.77,Avon,Paperback,368,2024,2024,,2024/01/24,to-read,to-read (#4449),to-read,,,,0,0
176443754,A Likely Story,Leigh Abramson,"Abramson, Leigh",,"=""1982199253""","=""9781982199258""",0,3.60,Atria Books,Paperback,368,2024,2023,,2024/01/23,to-read,to-read (#4448),to-read,,,,0,0
145624958,Advika and the Hollywood Wives,Kirthana Ramisetti,"Ramisetti, Kirthana",,"=""1538709287""","=""9781538709283""",0,3.14,Grand Central Publishing,Paperback,416,2024,2023,,2024/01/23,to-read,to-read (#4447),to-read,,,,0,0
75302266,"A Study in Drowning (A Study in Drowning, #1)",Ava Reid,"Reid, Ava",,"=""0063211505""","=""9780063211506""",4,3.71,HarperTeen,Hardcover,378,2023,2023,2024/01/22,2023/10/23,,,read,,,,1,0
59475768,The Invocations,Krystal Sutherland,"Sutherland, Krystal",,"=""0593532260""","=""9780593532263""",0,4.07,Penguin/Nancy Paulsen Books,Hardcover,400,2024,2024,,2024/01/22,to-read,to-read (#4446),to-read,,,,0,0
49730872,Perfect Strangers,J.T. Geissinger,"Geissinger, J.T.",,"=""""","=""""",0,4.21,"J.T. Geissinger, Inc.",Kindle Edition,342,2019,2019,,2024/01/22,to-read,to-read (#4445),to-read,,,,0,0
65215677,Exit Interview: The Life and Death of My Ambitious Career,Kristi Coulter,"Coulter, Kristi",,"=""0374600902""","=""9780374600907""",0,4.15,MCD,Hardcover,384,2023,,,2024/01/22,to-read,to-read (#4444),to-read,,,,0,0
127482487,The Ladies Rewrite the Rules,Suzanne Allain,"Allain, Suzanne",,"=""0593549643""","=""9780593549643""",0,3.61,Berkley,Paperback,261,2024,2024,,2024/01/21,to-read,to-read (#4443),to-read,,,,0,0
62690831,"The Last One (Vallendor, #1)",Rachel Howzell Hall,"Hall, Rachel Howzell",,"=""1649374402""","=""9781649374400""",0,2.83,"Entangled Publishing, LLC (Red Tower Books)",Hardcover,496,2024,2024,,2024/01/21,to-read,to-read (#4442),to-read,,,,0,0
199252912,"Business Casual (Lovelight, #4)",B.K. Borison,"Borison, B.K.",,"=""0593641175""","=""9780593641170""",0,4.08,Berkley,Paperback,384,2024,2024,,2024/01/21,to-read,to-read (#4441),to-read,,,,0,0
127281501,The Takeover,Cara Tanamachi,"Tanamachi, Cara",,"=""125084228X""","=""9781250842282""",0,3.40,Griffin,Paperback,304,2024,2024,,2024/01/21,to-read,to-read (#4440),to-read,,,,0,0
195790586,The Rom-Commers,Katherine Center,"Center, Katherine",,"=""1250283809""","=""9781250283801""",0,4.05,St. Martin's Press,Hardcover,336,2024,2024,,2024/01/21,to-read,to-read (#4439),to-read,,,,0,0
134117190,Say You'll Be Mine,Naina Kumar,"Kumar, Naina",,"=""0593723880""","=""9780593723883""",0,3.77,Dell,Paperback,352,2024,2024,,2024/01/21,to-read,to-read (#4438),to-read,,,,0,0
154488304,"The Catch (The Influencer, #3)",Amy  Lea,"Lea, Amy",,"=""0593336615""","=""9780593336618""",0,3.64,Berkley,Paperback,416,2024,2024,,2024/01/21,to-read,to-read (#4437),to-read,,,,0,0
